name,blurb,goal,slug,disable_communication,country,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,category,urls,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_hr,created_at_month,created_at_day,created_at_hr,launched_at_month,launched_at_day,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
XUFOY Rost + Rouble! NOISELESS GUITAR PLECTRUMS,A new Level in Pick Design. The patented gryd-like Structure prevents typical Plectrum-Noises! Gitarrenplektrum ohne StÃ¶rgerÃ¤usche!,3000.0,xufoy-rost-rouble-noiseless-guitar-plectrums,False,DE,11/11/2016 3:47,11/11/2016 3:47,10/4/2016 3:48,10/12/2016 3:47,False,143,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/1778883716/xufoy-rost-rouble-noiseless-guitar-plectrums?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1778883716/xufoy-rost-rouble-noiseless-guitar-plectrums/rewards""}}",Friday,Friday,Tuesday,Wednesday,11,11,3,11,11,3,10,4,3,10,12,3,7 days 23:59:08.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,7,30,30,0,0,0,0,0
"""When You're Sweaty & Hot Be Cool with BlowMeCool""","BlowMeCool is a unique durable mini fan - it's rechargeable, small, quiet, and powerful enough to blow you cool from over 2 feet away.",25000.0,when-youre-sweaty-and-hot-be-cool-with-blowmecool,False,CA,4/12/2015 10:54,4/12/2015 10:54,2/5/2015 18:52,3/3/2015 10:54,False,40,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/76878284/when-youre-sweaty-and-hot-be-cool-with-blowmecool?ref=category"",""rewards"":""https://www.kickstarter.com/projects/76878284/when-youre-sweaty-and-hot-be-cool-with-blowmecool/rewards""}}",Sunday,Sunday,Thursday,Tuesday,4,12,10,4,12,10,2,5,18,3,3,10,25 days 16:01:28.000000000,40 days 00:00:00.000000000,40 days 00:00:04.000000000,25,40,40,0,0,0,1,1
BlowFree,"Blowfree provides an easier way to replace a broken vehicle AC system. The kit is ergonomic, easy to install come is various designs.",8500.0,blowfree,False,US,5/9/2015 10:45,5/9/2015 10:45,4/8/2015 15:55,4/9/2015 10:45,False,1,,"{""web"":{""project"":""https://www.kickstarter.com/projects/146774170/blowfree?ref=category"",""rewards"":""https://www.kickstarter.com/projects/146774170/blowfree/rewards""}}",Saturday,Saturday,Wednesday,Thursday,5,9,10,5,9,10,4,8,15,4,9,10,0 days 18:49:54.000000000,30 days 00:00:00.000000000,30 days 00:00:05.000000000,0,30,30,0,1,1,0,1
"BOOM! International Tour - Circus, Theatre, Masks and Music!",We are creating a circus show with theatrical masks and live music for a multi-year international tour.,14000.0,boom-international-tour-circus-theatre-masks-and-m,False,US,2/5/2015 18:33,2/5/2015 18:33,12/2/2014 6:06,1/6/2015 18:33,False,142,Festivals,"{""web"":{""project"":""https://www.kickstarter.com/projects/81824892/boom-international-tour-circus-theatre-masks-and-m?ref=category"",""rewards"":""https://www.kickstarter.com/projects/81824892/boom-international-tour-circus-theatre-masks-and-m/rewards""}}",Thursday,Thursday,Tuesday,Tuesday,2,5,18,2,5,18,12,2,6,1,6,18,35 days 12:27:16.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,35,30,30,1,1,1,1,0
DiamondsSocialNetwork,"Business trifft Privat, wie auch anders herum. SÃ¤mtliche Firmen, die nicht in Facebook sind, sind Herzlich bei mir Willkommen.",225000.0,diamondssocialnetwork,False,DE,10/8/2015 12:19,10/8/2015 12:21,9/3/2015 12:14,9/8/2015 12:19,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/738849197/diamondssocialnetwork?ref=category"",""rewards"":""https://www.kickstarter.com/projects/738849197/diamondssocialnetwork/rewards""}}",Thursday,Thursday,Thursday,Tuesday,10,8,12,10,8,12,9,3,12,9,8,12,5 days 00:04:54.000000000,30 days 00:00:00.000000000,30 days 00:01:53.000000000,5,30,30,0,0,0,1,0
Mark Twain is Hell for the Company - Original Play,"""MARK TWAIN IS HELL FOR THE COMPANY"" is an original theatrical production created and under development by Jeff Lowe.",1000.0,mark-twain-is-hell-for-the-company,False,US,8/17/2015 11:15,8/17/2015 11:15,7/17/2015 10:51,7/18/2015 11:15,False,1,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/marktwain/mark-twain-is-hell-for-the-company?ref=category"",""rewards"":""https://www.kickstarter.com/projects/marktwain/mark-twain-is-hell-for-the-company/rewards""}}",Monday,Monday,Friday,Saturday,8,17,11,8,17,11,7,17,10,7,18,11,1 days 00:24:12.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,1,30,30,0,1,1,0,0
Axle,Axle's goal is to unite truckers against freight brokers and create a platform that puts the power back into the trucker's hands.,25000.0,axle,False,US,3/3/2017 9:50,2/1/2017 9:50,1/18/2017 10:39,2/1/2017 9:50,False,3,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1755008275/axle?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1755008275/axle/rewards""}}",Friday,Wednesday,Wednesday,Wednesday,3,3,9,2,1,9,1,18,10,2,1,9,13 days 23:11:42.000000000,30 days 00:00:00.000000000,0 days 00:00:00.000000000,13,30,0,0,1,1,0,0
5th Grade Students = LEGO EV3 Robotics Engineers/Programmers,"I immerse my students in as much technology as possible including Google Classroom, EV3 robotics, coding, and Z Space.We need a robot!",449.0,5th-grade-students-lego-ev3-robotics-engineers-pro,False,US,6/24/2015 11:48,6/24/2015 11:48,5/25/2015 11:14,5/25/2015 11:48,False,7,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/1220160037/5th-grade-students-lego-ev3-robotics-engineers-pro?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1220160037/5th-grade-students-lego-ev3-robotics-engineers-pro/rewards""}}",Wednesday,Wednesday,Monday,Monday,6,24,11,6,24,11,5,25,11,5,25,11,0 days 00:34:09.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,0,30,30,0,1,1,0,0
Peter Pan is out of pixie dust & can't fly without your help,"The volunteers of TACFA work to ""create community through the arts"" by putting on a Broadway show that everyone can afford to  attend.",8000.0,peter-pan-is-amost-out-of-magic-pixie-dust-and-can,False,US,7/31/2014 20:00,7/31/2014 20:00,6/15/2014 20:01,6/24/2014 3:49,False,94,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/helpusfly/peter-pan-is-amost-out-of-magic-pixie-dust-and-can?ref=category"",""rewards"":""https://www.kickstarter.com/projects/helpusfly/peter-pan-is-amost-out-of-magic-pixie-dust-and-can/rewards""}}",Thursday,Thursday,Sunday,Tuesday,7,31,20,7,31,20,6,15,20,6,24,3,8 days 07:48:06.000000000,37 days 16:10:22.000000000,37 days 16:10:35.000000000,8,37,37,1,1,1,1,0
GREETING CARD JOKER,I am creating fun and humorous video greeting cards for birthdays and special occasions. These cards are animated and unique!,50000.0,greeting-card-joker,False,CA,12/13/2015 16:23,12/13/2015 16:23,9/19/2015 20:03,11/13/2015 16:23,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1759228378/greeting-card-joker?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1759228378/greeting-card-joker/rewards""}}",Sunday,Sunday,Saturday,Friday,12,13,16,12,13,16,9,19,20,11,13,16,54 days 20:20:22.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,54,30,30,0,0,0,0,1
Feeding Fish (Canceled),This priceless technology helps you feed your fish. 'Feeding fish' allows freedom from never forgetting to feed your fish ever again.,7000.0,feeding-fish,False,GB,8/8/2015 9:56,8/4/2015 2:38,6/27/2015 10:52,7/9/2015 9:56,False,0,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/176754324/feeding-fish?ref=category"",""rewards"":""https://www.kickstarter.com/projects/176754324/feeding-fish/rewards""}}",Saturday,Tuesday,Saturday,Thursday,8,8,9,8,4,2,6,27,10,7,9,9,11 days 23:04:22.000000000,30 days 00:00:00.000000000,25 days 16:41:23.000000000,11,30,25,0,1,1,0,1
MiniZip - Compact Power for your LegoÂ® Creations,MiniZip provides your LegoÂ® sets and creations with a compact and cheap source of power.,500.0,minizip-compact-power-for-your-lego-creations,False,US,9/24/2014 19:26,9/24/2014 19:26,8/5/2014 14:11,8/25/2014 19:26,True,183,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/1nxtmonster/minizip-compact-power-for-your-lego-creations?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1nxtmonster/minizip-compact-power-for-your-lego-creations/rewards""}}",Wednesday,Wednesday,Tuesday,Monday,9,24,19,9,24,19,8,5,14,8,25,19,20 days 05:15:00.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,20,30,30,1,1,1,0,0
Retronix Guitar Project - by J. Backlund Design Guitars,Retronix is a new line of affordable instruments from J Backlund Design Guitars. The R-800 is our first great design for a new market.,15000.0,retronix-guitar-project-by-j-backlund-design-guita,False,US,9/23/2012 22:00,9/23/2012 22:00,9/7/2012 15:14,9/12/2012 15:31,False,50,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/430854338/retronix-guitar-project-by-j-backlund-design-guita?ref=category"",""rewards"":""https://www.kickstarter.com/projects/430854338/retronix-guitar-project-by-j-backlund-design-guita/rewards""}}",Sunday,Sunday,Friday,Wednesday,9,23,22,9,23,22,9,7,15,9,12,15,5 days 00:16:50.000000000,11 days 06:28:46.000000000,11 days 06:29:16.000000000,5,11,11,1,1,1,0,1
GearTag - Keep track of your gear,A wireless tag to keep track of your important gear using your smartphone.,25000.0,geartag-keep-track-of-your-gear,False,US,9/27/2013 10:16,9/27/2013 10:16,8/3/2013 2:26,8/28/2013 10:16,False,348,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/geartag/geartag-keep-track-of-your-gear?ref=category"",""rewards"":""https://www.kickstarter.com/projects/geartag/geartag-keep-track-of-your-gear/rewards""}}",Friday,Friday,Saturday,Wednesday,9,27,10,9,27,10,8,3,2,8,28,10,25 days 07:49:25.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,25,30,30,0,1,1,0,0
TapPainter: (Canceled),"See your room in new colors instantly and accurately. Feature-rich, sophisticated color visualizer.",20000.0,tappainter,False,US,5/13/2014 7:58,4/11/2014 19:12,3/18/2014 19:40,4/8/2014 7:58,True,10,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/2000292860/tappainter?ref=category"",""rewards"":""https://www.kickstarter.com/projects/2000292860/tappainter/rewards""}}",Tuesday,Friday,Tuesday,Tuesday,5,13,7,4,11,19,3,18,19,4,8,7,20 days 12:17:59.000000000,35 days 00:00:00.000000000,3 days 11:14:10.000000000,20,35,3,0,1,1,1,0
The Education Enterprise (Canceled),It's time to organize our public education system with a comprehensive website that will decipher policies and issues for everyone.,330.0,the-education-enterprise,False,US,8/3/2014 19:00,7/16/2014 17:49,7/7/2014 10:46,7/14/2014 18:15,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1779748728/the-education-enterprise?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1779748728/the-education-enterprise/rewards""}}",Sunday,Wednesday,Monday,Monday,8,3,19,7,16,17,7,7,10,7,14,18,7 days 07:29:30.000000000,20 days 00:44:25.000000000,1 days 23:33:40.000000000,7,20,1,0,1,1,0,1
Norskefunn,Personal metall detector database where users can input location and finds data.,100000.0,norskefunn,False,NO,5/3/2016 14:30,5/3/2016 14:30,2/15/2016 8:07,3/4/2016 14:30,False,2,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/894565383/norskefunn?ref=category"",""rewards"":""https://www.kickstarter.com/projects/894565383/norskefunn/rewards""}}",Tuesday,Tuesday,Monday,Friday,5,3,14,5,3,14,2,15,8,3,4,14,18 days 06:23:30.000000000,60 days 00:00:00.000000000,60 days 00:00:00.000000000,18,60,60,0,0,0,0,0
"The Accidental Theatre Company, Bellingham WA",ATC is a fledgling community-based performing arts group working to produce our first full-scale musical -- a Cole Porter revue.,4000.0,the-accidental-theatre-company-bellingham-wa,False,US,8/10/2016 19:36,8/10/2016 19:36,7/11/2016 16:38,7/11/2016 19:36,False,0,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/28911854/the-accidental-theatre-company-bellingham-wa?ref=category"",""rewards"":""https://www.kickstarter.com/projects/28911854/the-accidental-theatre-company-bellingham-wa/rewards""}}",Wednesday,Wednesday,Monday,Monday,8,10,19,8,10,19,7,11,16,7,11,19,0 days 02:58:39.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,0,30,30,0,1,1,0,0
Save Cletus,"Help save our team's dearest, most faithful friend, Cletus. We want to show him to the world.",800.0,save-cletus,False,US,9/22/2014 18:30,9/22/2014 18:30,8/18/2014 17:21,8/23/2014 15:09,True,23,Robots,"{""web"":{""project"":""https://www.kickstarter.com/projects/1211948246/save-cletus?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1211948246/save-cletus/rewards""}}",Monday,Monday,Monday,Saturday,9,22,18,9,22,18,8,18,17,8,23,15,4 days 21:47:21.000000000,30 days 03:20:46.000000000,30 days 03:20:58.000000000,4,30,30,1,1,1,0,0
Online Free Sound Effects/store (Canceled),Free and paid for sound effects hd,35000.0,online-free-sound-effects-store-0,False,GB,1/23/2016 4:31,12/27/2015 4:42,12/24/2015 3:51,12/24/2015 4:31,False,0,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/291963032/online-free-sound-effects-store-0?ref=category"",""rewards"":""https://www.kickstarter.com/projects/291963032/online-free-sound-effects-store-0/rewards""}}",Saturday,Sunday,Thursday,Thursday,1,23,4,12,27,4,12,24,3,12,24,4,0 days 00:40:21.000000000,30 days 00:00:00.000000000,3 days 00:11:10.000000000,0,30,3,0,1,1,0,1
Legal Resources Social Network,"""Our goal is to create an online social network assisting people to help conform with complex immigration laws"".",75000.0,immigration-resources-networkimmigration-help-cent,False,US,12/3/2015 12:38,12/3/2015 12:38,11/8/2015 12:38,11/10/2015 11:29,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1730780300/immigration-resources-networkimmigration-help-cent?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1730780300/immigration-resources-networkimmigration-help-cent/rewards""}}",Thursday,Thursday,Sunday,Tuesday,12,3,12,12,3,12,11,8,12,11,10,11,1 days 22:51:44.000000000,23 days 01:08:05.000000000,23 days 01:08:07.000000000,1,23,23,0,1,1,1,0
The Scott & Patti Show,"Scott & Patti are looking to expand our brand. S&P want to bring you a bigger and better show, and this is your chance to contribute.",5500.0,the-scott-and-patti-show,False,US,9/18/2014 11:11,9/18/2014 11:11,2/18/2014 20:04,7/20/2014 11:11,False,129,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/1388342960/the-scott-and-patti-show?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1388342960/the-scott-and-patti-show/rewards""}}",Thursday,Thursday,Tuesday,Sunday,9,18,11,9,18,11,2,18,20,7,20,11,151 days 15:06:49.000000000,60 days 00:00:00.000000000,60 days 00:00:02.000000000,151,60,60,1,1,1,0,0
Sero! - Deeper Assessment,Sero! is a next-generation learning assessment platform using Concept Maps for deeper assessment of higher-order thinking.,25000.0,sero-deeper-assessment,False,US,6/30/2015 22:59,6/30/2015 22:59,5/20/2015 6:17,5/20/2015 11:56,False,1,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/perigeantechnologies/sero-deeper-assessment?ref=category"",""rewards"":""https://www.kickstarter.com/projects/perigeantechnologies/sero-deeper-assessment/rewards""}}",Tuesday,Tuesday,Wednesday,Wednesday,6,30,22,6,30,22,5,20,6,5,20,11,0 days 05:39:26.000000000,41 days 11:02:24.000000000,41 days 11:02:29.000000000,0,41,41,0,1,1,0,0
Raptor RZ1 personal air vehicle (Canceled),The Raptor RZ1 is a single place aircraft capable of high speed and long distance travel. Inexpensive to build and fly... you build it!,16500.0,raptor-rz1-personal-air-vehicle,False,US,7/30/2014 21:51,7/19/2014 10:10,6/2/2014 11:18,6/30/2014 21:51,True,6,Flight,"{""web"":{""project"":""https://www.kickstarter.com/projects/1849828828/raptor-rz1-personal-air-vehicle?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1849828828/raptor-rz1-personal-air-vehicle/rewards""}}",Wednesday,Saturday,Monday,Monday,7,30,21,7,19,10,6,2,11,6,30,21,28 days 10:33:11.000000000,30 days 00:00:00.000000000,18 days 12:18:31.000000000,28,30,18,0,1,1,0,0
OH Christmas Trees,Bringing Christmas Trees to the 21st Century,65000.0,oh-christmas-trees,False,US,6/1/2016 9:07,6/1/2016 9:07,4/11/2016 3:41,5/2/2016 9:07,False,18,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1437305354/oh-christmas-trees?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1437305354/oh-christmas-trees/rewards""}}",Wednesday,Wednesday,Monday,Monday,6,1,9,6,1,9,4,11,3,5,2,9,21 days 05:25:43.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,21,30,30,0,1,1,0,0
What's Next - Exploring Your Future,"This magazine is purposed to allow high school students the opportunity to explore their future and determine ""What's Next"".",10000.0,whats-next-exploring-your-future,False,US,6/30/2016 7:18,6/30/2016 7:18,3/22/2016 10:50,5/1/2016 7:18,False,10,Academic,"{""web"":{""project"":""https://www.kickstarter.com/projects/325565011/whats-next-exploring-your-future?ref=category"",""rewards"":""https://www.kickstarter.com/projects/325565011/whats-next-exploring-your-future/rewards""}}",Thursday,Thursday,Tuesday,Sunday,6,30,7,6,30,7,3,22,10,5,1,7,39 days 20:27:23.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,39,60,60,0,1,1,0,0
inCharge Bolt - The smallest keyring cable on steroids!,"inCharge Bolt, the smallest keyring cable in the world. Now charging up to twice faster than a standard cable and weather resistant!",20000.0,incharge-bolt-the-smallest-keyring-cable-on-steroi,False,GB,6/19/2015 11:49,6/19/2015 11:49,5/4/2015 16:22,5/10/2015 11:49,False,7784,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/2019070583/incharge-bolt-the-smallest-keyring-cable-on-steroi?ref=category"",""rewards"":""https://www.kickstarter.com/projects/2019070583/incharge-bolt-the-smallest-keyring-cable-on-steroi/rewards""}}",Friday,Friday,Monday,Sunday,6,19,11,6,19,11,5,4,16,5,10,11,5 days 19:27:27.000000000,40 days 00:00:00.000000000,40 days 00:00:01.000000000,5,40,40,1,1,1,0,0
College: The App (Canceled),We set out to design a product that every college student would want to get their hands on.,10000.0,college-the-app,False,US,5/13/2014 23:58,4/22/2014 0:20,1/17/2014 13:34,4/13/2014 23:58,False,3,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1707952078/college-the-app?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1707952078/college-the-app/rewards""}}",Tuesday,Tuesday,Friday,Sunday,5,13,23,4,22,0,1,17,13,4,13,23,86 days 10:24:10.000000000,30 days 00:00:00.000000000,8 days 00:22:33.000000000,86,30,8,0,1,1,0,0
Help me prototype an LED light for the Kindle (Canceled),I've begun prototyping a low-cost LED light for the Kindle. I'd like the finished product to be something that I can offer as a...,200.0,help-me-prototype-an-led-light-for-the-kindle,False,US,7/31/2009 9:30,5/5/2009 20:41,5/2/2009 9:30,5/2/2009 13:24,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/samples/help-me-prototype-an-led-light-for-the-kindle?ref=category"",""rewards"":""https://www.kickstarter.com/projects/samples/help-me-prototype-an-led-light-for-the-kindle/rewards""}}",Friday,Tuesday,Saturday,Saturday,7,31,9,5,5,20,5,2,9,5,2,13,0 days 03:54:07.000000000,89 days 20:05:52.000000000,3 days 07:17:19.000000000,0,89,3,0,1,1,0,0
Crazy Ant Crusher Kills Crazy Ants. No chemicals.,"This ant crusher provides a chemical-free, environmentally sound approach to treating Tawny (Rasberry) Crazy Ant infestations.",4000.0,crazy-ant-crusher-kills-crazy-ants-no-chemicals,False,US,8/26/2014 23:59,8/26/2014 23:59,5/11/2014 19:57,8/3/2014 17:39,False,14,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/1200779051/crazy-ant-crusher-kills-crazy-ants-no-chemicals?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1200779051/crazy-ant-crusher-kills-crazy-ants-no-chemicals/rewards""}}",Tuesday,Tuesday,Sunday,Sunday,8,26,23,8,26,23,5,11,19,8,3,17,83 days 21:42:26.000000000,23 days 06:19:12.000000000,23 days 06:19:13.000000000,83,23,23,0,1,1,0,0
JuJube : the Frasier Crane for your text messages,Jujube redefines messaging with machines learning human emotions. Forget decoding what a text based message really means. Ask JuJuBe,25000.0,jujube-the-frasier-crane-for-your-text-messages,False,US,10/16/2016 8:23,10/16/2016 8:23,9/9/2016 12:18,9/16/2016 8:23,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/347066025/jujube-the-frasier-crane-for-your-text-messages?ref=category"",""rewards"":""https://www.kickstarter.com/projects/347066025/jujube-the-frasier-crane-for-your-text-messages/rewards""}}",Sunday,Sunday,Friday,Friday,10,16,8,10,16,8,9,9,12,9,16,8,6 days 20:05:28.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,6,30,30,0,1,1,0,1
Headlight helmet,Helmet with built in lights to rid the need for lights on a bike by making them in a more aesthetically pleasing and convenient form.,5250.0,headlight-helmet,False,CA,10/9/2015 15:41,10/9/2015 15:41,8/28/2015 13:29,9/9/2015 15:41,False,0,Wearables,"{""web"":{""project"":""https://www.kickstarter.com/projects/587250906/headlight-helmet?ref=category"",""rewards"":""https://www.kickstarter.com/projects/587250906/headlight-helmet/rewards""}}",Friday,Friday,Friday,Wednesday,10,9,15,10,9,15,8,28,13,9,9,15,12 days 02:12:08.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,12,30,30,0,0,0,0,0
12-in-1 Connect CHARLIE Safely Charges All Your Devices!,12-in-1 Connect CHARLIE has 9 USB Ports and 3 outlets to safely charge all your devices. This Powerhouse features built-in nightlight.,23400.0,12-in-1-connect-charlie-safely-charges-all-your-de,False,US,5/30/2016 0:05,5/30/2016 0:05,4/1/2016 21:52,4/26/2016 0:05,False,113,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/connectcharlie/12-in-1-connect-charlie-safely-charges-all-your-de?ref=category"",""rewards"":""https://www.kickstarter.com/projects/connectcharlie/12-in-1-connect-charlie-safely-charges-all-your-de/rewards""}}",Monday,Monday,Friday,Tuesday,5,30,0,5,30,0,4,1,21,4,26,0,24 days 02:12:44.000000000,34 days 00:00:00.000000000,34 days 00:00:01.000000000,24,34,34,1,1,1,1,0
The PowerPot X: Most Reliable 10-Watt Portable Generator,An innovative portable generator that turns heat into electricity. Now with 10 Watts of power at your fingertips... all while you cook!,30000.0,the-powerpot-x-most-reliable-10-watt-portable-gene,False,US,1/15/2014 13:00,1/15/2014 13:00,11/14/2013 14:44,12/3/2013 16:01,False,456,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/david-toledo/the-powerpot-x-most-reliable-10-watt-portable-gene?ref=category"",""rewards"":""https://www.kickstarter.com/projects/david-toledo/the-powerpot-x-most-reliable-10-watt-portable-gene/rewards""}}",Wednesday,Wednesday,Thursday,Tuesday,1,15,13,1,15,13,11,14,14,12,3,16,19 days 01:17:09.000000000,42 days 20:58:33.000000000,42 days 20:58:48.000000000,19,42,42,1,1,1,1,0
The Right Gift,"Site/App that allows friends to donate any amount of money($1-$$$$) toward friend's ""WISH LIST"".",110000.0,the-right-gift,False,US,2/25/2016 16:55,2/25/2016 16:56,9/10/2015 21:17,1/11/2016 16:55,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1573124619/the-right-gift?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1573124619/the-right-gift/rewards""}}",Thursday,Thursday,Thursday,Monday,2,25,16,2,25,16,9,10,21,1,11,16,122 days 19:38:37.000000000,45 days 00:00:00.000000000,45 days 00:00:01.000000000,122,45,45,0,1,1,0,0
nstaCharge,A Scifi Racing Game -- based on an award winning short film by the same artists.,12000.0,nstacharge,False,US,4/30/2012 2:07,4/30/2012 2:07,3/10/2012 21:40,3/31/2012 2:07,True,449,,"{""web"":{""project"":""https://www.kickstarter.com/projects/1758096792/nstacharge?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1758096792/nstacharge/rewards""}}",Monday,Monday,Saturday,Saturday,4,30,2,4,30,2,3,10,21,3,31,2,20 days 04:27:33.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,20,30,30,1,1,1,0,0
POSSE AMK: Don't Let Your Earphones Kill You! (Canceled),"What began as a monitoring device for musicians now adds safety and convenience for users of earphones, headphones and  video cameras.",30000.0,posse-ambient-microphone-kit-hear-what-you-need-to,False,US,1/4/2015 11:04,12/29/2014 17:55,10/10/2014 20:03,11/20/2014 11:04,False,43,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/610544753/posse-ambient-microphone-kit-hear-what-you-need-to?ref=category"",""rewards"":""https://www.kickstarter.com/projects/610544753/posse-ambient-microphone-kit-hear-what-you-need-to/rewards""}}",Sunday,Monday,Friday,Thursday,1,4,11,12,29,17,10,10,20,11,20,11,40 days 15:01:23.000000000,45 days 00:00:00.000000000,39 days 06:51:06.000000000,40,45,39,0,1,1,0,1
Natural Health Discovery (Will self fund),Natural Health Sciences. Website and App featuring 4K quality short infotainment content outlining the world of Natural Health.,10000.0,natural-health-discovery,False,US,11/2/2014 14:48,11/2/2014 14:48,9/30/2014 7:18,10/3/2014 14:48,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1626088627/natural-health-discovery?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1626088627/natural-health-discovery/rewards""}}",Sunday,Sunday,Tuesday,Friday,11,2,14,11,2,14,9,30,7,10,3,14,3 days 07:29:37.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,3,30,30,0,1,1,0,1
"""ruptsy"": Affordable, DIY Bankruptcy","""ruptsy"" is an online platform that asks you questions and fills out your bankruptcy forms for you- inexpensive and easy to use!",10000.0,ruptsy-affordable-diy-bankruptcy,False,US,7/6/2016 19:58,7/6/2016 19:58,6/4/2016 14:08,6/6/2016 19:58,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/28441833/ruptsy-affordable-diy-bankruptcy?ref=category"",""rewards"":""https://www.kickstarter.com/projects/28441833/ruptsy-affordable-diy-bankruptcy/rewards""}}",Wednesday,Wednesday,Saturday,Monday,7,6,19,7,6,19,6,4,14,6,6,19,2 days 05:49:50.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,2,30,30,0,1,1,0,0
Pole Position Sliding Pickup Guitar,"The Pole Position's easy-to-use sliding pickup lets guitarists make subtle or dramatic changes in tone any time, even while playing.",5000.0,pole-position-sliding-pickup-guitar,False,US,8/23/2015 17:14,8/23/2015 17:15,7/10/2015 15:59,7/24/2015 17:14,False,17,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/1165874210/pole-position-sliding-pickup-guitar?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1165874210/pole-position-sliding-pickup-guitar/rewards""}}",Sunday,Sunday,Friday,Friday,8,23,17,8,23,17,7,10,15,7,24,17,14 days 01:14:37.000000000,30 days 00:00:00.000000000,30 days 00:00:49.000000000,14,30,30,1,1,1,0,1
